Fecha,TDV Control-2L(µm) P14,TDV Control-2L (µm) P15,TDV 45SDI-2L (µm) P6,TDV 45SDI-2L (µm) P11
2016-08-01 03:14:59.933,344.89999999999964,950.5,-145.5999999999999,77.40000000000009
2016-08-01 03:29:59.933,350.5,960.1000000000004,-141.79999999999973,84.69999999999982
2016-08-01 03:44:59.933,356,964.5,-141.19999999999982,86.69999999999982
2016-08-01 03:59:59.933,360.2999999999997,967.1000000000004,-139.19999999999982,93.40000000000009
2016-08-01 04:14:59.933,366.5,973.6000000000004,-134.79999999999973,93.40000000000009
2016-08-01 04:29:59.933,370.89999999999964,976.1000000000004,-133.5,102
2016-08-01 04:44:59.933,373.89999999999964,979.3000000000002,-129.69999999999982,102.69999999999982
2016-08-01 04:59:59.933,375.1999999999998,983.8000000000002,-126.5,106.69999999999982
2016-08-01 05:14:59.933,382,984.3999999999996,-125.29999999999973,114.09999999999991
2016-08-01 05:29:59.933,385,991.5,-120.79999999999973,116.69999999999982
2016-08-01 05:44:59.933,390.5999999999999,996.6999999999998,-117.69999999999982,126.69999999999982
2016-08-01 05:59:59.933,396.7999999999997,1003.1000000000004,-112.5,132.0999999999999
2016-08-01 06:14:59.933,403,1008.1999999999998,-109.29999999999973,131.4000000000001
2016-08-01 06:29:59.933,407.2999999999997,1012.6999999999998,-110,134.0999999999999
2016-08-01 06:44:59.933,405.39999999999964,1017.1000000000004,-110,126.09999999999991
2016-08-01 06:59:59.933,399.2999999999997,1014,-124.59999999999991,110.69999999999982
2016-08-01 07:14:59.933,385,1010.8000000000002,-145,92.69999999999982
2016-08-01 07:29:59.933,370.89999999999964,1004.3999999999996,-160.79999999999973,76.69999999999982
2016-08-01 07:44:59.933,352.89999999999964,996,-183.0999999999999,58
2016-08-01 07:59:59.933,335,984.3999999999996,-202.79999999999973,40
2016-08-01 08:14:59.933,301.5999999999999,974.1999999999998,-226.4000000000001,22
2016-08-01 08:29:59.933,279.2999999999997,965.8999999999996,-253.0999999999999,-4
2016-08-01 08:44:59.933,261.5,958.8000000000002,-283.5999999999999,-16
2016-08-01 08:59:59.933,239.19999999999982,961.3000000000002,-313.4000000000001,-26
2016-08-01 09:14:59.933,223.0999999999999,956.1999999999998,-330.5999999999999,-24.699999999999818
2016-08-01 09:29:59.933,207.69999999999982,956.8000000000002,-341.4000000000001,-22
2016-08-01 09:44:59.933,189.69999999999982,951.6999999999998,-345.2999999999997,-14
2016-08-01 09:59:59.933,173.0999999999999,953,-342.7999999999997,-8
2016-08-01 10:14:59.933,161.29999999999973,948.5,-343.9000000000001,0.599999999999909
2016-08-01 10:29:59.933,152.69999999999982,931.1999999999998,-345.2999999999997,4
2016-08-01 10:44:59.933,138.39999999999964,924.1000000000004,-351.5999999999999,1.400000000000091
2016-08-01 10:59:59.933,121.69999999999982,914.5,-356.0999999999999,-5.400000000000091
2016-08-01 11:14:59.933,100.69999999999982,895.1999999999998,-360.5,-13.400000000000091
2016-08-01 11:29:59.933,74.79999999999973,873.3999999999996,-372,-32
2016-08-01 11:44:59.933,49.399999999999636,852.8000000000002,-385.2999999999997,-52.69999999999982
2016-08-01 11:59:59.933,22.899999999999636,827.8000000000002,-402.5,-81.40000000000009
2016-08-01 12:14:59.933,-9.200000000000273,800.1999999999998,-422.1999999999998,-111.5
