,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP 45RDI-PB_2,2015-06-13,1.0,1.0,0.0,0.910859453837196,0.08895942528811819,0.0001811208746857937
LTP 45RDI-PB_2,2015-06-14,1.0,1.0,0.0,0.9084045953298784,0.0914662139271863,0.00012919074293519112
LTP 45RDI-PB_2,2015-06-15,1.0,1.0,0.0,0.9270083847854269,0.07282869530130782,0.00016291991326535188
LTP 45RDI-PB_2,2015-06-16,1.0,1.0,0.0,0.8903725613644692,0.10883806443143619,0.0007893742040944854
LTP 45RDI-PB_2,2015-06-17,1.0,1.0,0.0,0.8883306025578123,0.11094918017689362,0.0007202172652939689
LTP 45RDI-PB_2,2015-06-18,2.0,1.0,1.0,0.8738793862247495,0.12520652020860784,0.000914093566642614
LTP 45RDI-PB_2,2015-06-19,2.0,1.0,1.0,0.8018280880560443,0.1952857424566757,0.002886169487279992
LTP 45RDI-PB_2,2015-06-20,2.0,1.0,1.0,0.8049225831727664,0.19149362371639203,0.0035837931108415903
LTP 45RDI-PB_2,2015-06-21,1.0,1.0,0.0,0.8379051367016481,0.16190319222710653,0.00019167107124536665
LTP 45RDI-PB_2,2015-06-22,1.0,1.0,0.0,0.8766967155682122,0.12252281188402701,0.0007804725477607826
LTP 45RDI-PB_2,2015-06-23,1.0,1.0,0.0,0.707618633613913,0.2830139897530438,0.009367376633043172
LTP 45RDI-PB_2,2015-06-24,2.0,2.0,0.0,0.06957655603551963,0.7011846904592525,0.22923875350522782
LTP 45RDI-PB_2,2015-06-25,1.0,1.0,0.0,0.6307721144051224,0.3544310115295013,0.0147968740653763
LTP 45RDI-PB_2,2015-06-26,2.0,3.0,-1.0,0.0002135135308808325,0.05160457738764134,0.9481819090814777
LTP 45RDI-PB_2,2015-06-27,3.0,1.0,2.0,0.6147317047457925,0.3781055460749504,0.007162749179257036
LTP 45RDI-PB_2,2015-06-28,3.0,3.0,0.0,0.0020103758465445827,0.11418467283901845,0.8838049513144369
LTP 45RDI-PB_2,2015-06-29,3.0,3.0,0.0,0.001159617817152371,0.08035183698796655,0.918488545194881
LTP 45RDI-PB_2,2015-06-30,1.0,2.0,-1.0,0.3070059717689649,0.6511452983136526,0.041848729917382504
LTP 45RDI-PB_2,2015-07-01,1.0,1.0,0.0,0.49862270617551513,0.4699491718280426,0.03142812199644231
LTP 45RDI-PB_2,2015-07-02,2.0,3.0,-1.0,0.003930317353700796,0.22937163549819142,0.7666980471481077
LTP 45RDI-PB_2,2015-07-03,1.0,2.0,-1.0,0.1643145897495112,0.7711026800084305,0.06458273024205818
LTP 45RDI-PB_2,2015-07-04,1.0,3.0,-2.0,0.004970951179863838,0.1805394816255618,0.8144895671945743
LTP 45RDI-PB_2,2015-07-05,2.0,2.0,0.0,0.18184514501788357,0.6959793834628245,0.12217547151929205
