Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media,media alta variabilidad
LTP diff_R_Neta_Avg_norm_0.99_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.99,1,-0.12378058,0.153331711,0.054301132,0.157858624,0.166320738,0.369370363,0.709750239,0.617316625,0.424080399,0.468240671,0.346730056,0.517751659
LTP diff_R_Neta_Avg_norm_0.95_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.95,1,-0.123251281,0.152878152,0.054454715,0.15886236,0.163199974,0.37037024,0.709123726,0.617317407,0.423470956,0.467206168,0.346320411,0.517497699
LTP diff_R_Neta_Avg_norm_0.9_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.9,1,-0.122511445,0.152208725,0.054648466,0.160110901,0.159024769,0.371562826,0.70820464,0.617197465,0.422477343,0.465658655,0.345677088,0.517020186
LTP Area_0.99_5,mean(LTP),0.99,5,0.089051247,0.057784154,-0.068592103,0.060845317,0.070863318,0.209958132,0.110790071,0.711668926,0.686782859,0.86027941,0.300042231,0.51589588
LTP Area_0.8_10,mean(LTP),0.8,10,0.082366847,0.03178402,-0.078000772,0.057837825,0.058054538,0.212765491,0.117128814,0.707072963,0.68958733,0.852174418,0.294267181,0.515745803
LTP Area_0.95_5,mean(LTP),0.95,5,0.090499139,0.058001308,-0.067419515,0.062906925,0.07416653,0.207179491,0.105565955,0.71259702,0.690380066,0.862427222,0.300645,0.515629951
LTP diff_R_Neta_Avg_norm_0.8_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,1,-0.12073348,0.150472517,0.055038784,0.162540135,0.149666271,0.373692261,0.70583205,0.616468967,0.419575853,0.461567217,0.343872673,0.51542727
LTP Area_0.9_5,mean(LTP),0.9,5,0.092411959,0.058441622,-0.065905108,0.065504014,0.078316441,0.203541151,0.098710713,0.713515797,0.694420348,0.864766655,0.301256848,0.514990933
LTP Area_0.8_5,mean(LTP),0.8,5,0.096527736,0.059975654,-0.062826161,0.070534763,0.086444274,0.195805585,0.084090202,0.714355124,0.700530367,0.867944046,0.30187265,0.512545065
LTP Area_0.99_4,mean(LTP),0.99,4,0.090233336,0.050816574,-0.064481329,0.065619856,0.076998673,0.199323169,0.091532557,0.714615793,0.688677504,0.863992403,0.298566133,0.511628285
