Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,Global en validación
LTP Min_mnvu_0.8_1,(min(LTP)-mean(LTP))/var(LTP),0.8,1,-0.24647716361250488,-0.19996696613768608,-0.19813807588465795,0.029099089889935374,0.06378180189457282,0.004983892711511379,0.216889848519342,-0.12794874510193965,-0.6065800703233061,-0.825891689844971,-0.19086342498100078
LTP Area_n0_1_0.8_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.8,1,-0.18980799757677444,-0.08344109713375444,-0.11816835122358972,-0.13949807259249808,0.21738027244523012,0.18299162435184127,0.09067019717834297,0.4432406151656099,0.48351119788768293,0.48157174448409523,0.1817890398102611
LTP diff_R_Neta_Avg_0.8_1,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.8,1,0.06846262300893263,0.1325446602574171,0.1239131202162878,0.080872892155908,0.15362878809162403,0.8239365231673433,0.9490652704817283,0.6605083114536047,0.6144892616769739,0.6750087442367646,0.424828211172556
LTP diff_1h_0.8_1,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.8,1,0.10974676682134417,0.04815993689520482,0.12781908901905512,0.06387601446374652,0.22410968399016587,0.8405545823361965,0.9489511340864829,0.7648404960567549,0.6620407317664407,0.773589526378232,0.4734351950686348
LTP diff_min_0.8_1,min(LTP(x)-LTP(x-1min)),0.8,1,0.08071679895223265,0.10448101920734575,0.007578498272339074,-0.06034025523095407,-0.03257534347686845,-0.1514972340596205,-0.33662574328988565,-0.36077872706804864,-0.37125659789728715,-0.3581298983332055,-0.14488397415166593
LTP diff_R_Neta_Avg_norm_0.8_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,1,-0.12073347951641634,0.1504725165452696,0.05503878367835998,0.16254013519549648,0.14966627129114368,0.37369226115742726,0.7058320500055321,0.6164689673993275,0.419575853332894,0.46156721700525755,0.2723056422874022
LTP diff_1h_norm_0.8_1,(LTP(sign_change(R_Neta_Avg))-LTP(sign_change(R_Neta_Avg)+1h))/var(LTP),0.8,1,-0.1677706093119968,-0.2579456798536231,-0.0938000666206906,0.07897707228382378,0.24997919347667913,0.5601542503736583,0.8007363583244559,0.7058721832900489,0.6354443135388975,0.6306084610890372,0.3305847877365596
LTP diff_min_norm_0.8_1,min((LTP(x)-LTP(x-1min))/var(LTP)),0.8,1,-0.1394460935760852,-0.08946750958907441,-0.012418639574468156,-0.02399295858784925,0.003785290738384697,0.010440101654233414,0.11067033843700001,-0.12317056727485386,-0.486670112177499,-0.7582753482705487,-0.12896562629887368
LTP Max_0.8_2,max(LTP),0.8,2,-0.07399186000685054,-0.15069386899862616,-0.08467617347717027,0.08682257753850738,0.17758054010924715,0.20800174532099994,0.17526143349821138,0.6604037676400295,0.4967953681948677,0.5394978806007596,0.24454129489487522
LTP Min_0.8_2,min(LTP),0.8,2,0.21991213374390975,0.15601306515843083,0.061592376430006424,0.08780619679656514,0.007200256269002154,0.11408234621892556,-0.14804888464398736,0.7318659161726399,0.6208983129436171,0.8571932516220402,0.3085623399543281
LTP Area_0.8_2,mean(LTP),0.8,2,0.10480468763191977,0.06214597213460271,-0.04288466239212985,0.09569314883985078,0.08580896150885965,0.1722081352563277,0.03811021492159725,0.7113795502792909,0.6919197370524669,0.8608977525481226,0.30546241559662746
LTP Max_n0_0.8_2,max(LTP)-LTP(00:00),0.8,2,-0.1955867325286792,-0.16424714725844186,-0.10037073841294332,0.04536308516264012,0.06855002997308095,-0.43630757580687446,-0.7045357111929168,-0.36535706961968434,-0.5689315831172892,-0.8015970344962329,-0.27584408215687156
