Fecha,TDV Control (µm) P1,TDV Control (µm) P12,TDV 45RDI-PB (µm) P6,TDV 45RDI-PB (µm) P8,TDV 45RDI-CC (µm) P3,TDV 45RDI-CC (µm) P5
2015-08-01 17:59:31.320,-437.5,-296,42217.749668055556,-437.5,-1023.1999999999998,-1021.4000000000001
2015-08-01 18:14:31.315,-433.5999999999999,-292.10000000000014,42217.760084664355,-433.5999999999999,-1027.5,-1029.9
2015-08-01 18:29:31.310,-425.20000000000005,-286.29999999999995,42217.770501273146,-425.20000000000005,-1028.6999999999998,-1033.9
2015-08-01 18:44:31.305,-416.0999999999999,-277.29999999999995,42217.780917881944,-416.0999999999999,-1031.7999999999997,-1027.3000000000002
2015-08-01 18:59:31.300,-401.29999999999995,-259.4000000000001,42217.79133449074,-401.29999999999995,-1036,-1033.9
2015-08-01 19:14:31.295,-382.4000000000001,-231.10000000000014,42217.801751099534,-382.4000000000001,-1036.5,-1037.2000000000003
2015-08-01 19:29:31.290,-356.5,-202.20000000000005,42217.81216770833,-356.5,-1034.1999999999998,-1039.2000000000003
2015-08-01 19:44:31.285,-334.4000000000001,-179.10000000000014,42217.82258431713,-334.4000000000001,-1030,-1037.2000000000003
2015-08-01 19:59:31.280,-304,-150.20000000000005,42217.83300092592,-304,-1026.9,-1033.9
2015-08-01 20:14:31.275,-281.9000000000001,-121.29999999999995,42217.84341753472,-281.9000000000001,-1024.5,-1033.3000000000002
2015-08-01 20:29:31.270,-261.29999999999995,-96.29999999999995,42217.85383414352,-261.29999999999995,-1022,-1031.9
2015-08-01 20:44:31.265,-238.5999999999999,-77,42217.86425075232,-238.5999999999999,-1020.1999999999998,-1022.5999999999999
2015-08-01 20:59:31.260,-220.4000000000001,-55.200000000000045,42217.87466736111,-220.4000000000001,-1017.1999999999998,-1032.5
2015-08-01 21:14:31.255,-206.79999999999995,-36,42217.88508396991,-206.79999999999995,-1016.5,-1029.3000000000002
2015-08-01 21:29:31.250,-192.5,-23.799999999999955,42217.89550057871,-192.5,-1012.2999999999997,-1029.9
2015-08-01 21:44:31.245,-182.20000000000005,-18,42217.9059171875,-182.20000000000005,-1011.0999999999999,-1033.3000000000002
2015-08-01 21:59:31.240,-167.20000000000005,-5.100000000000136,42217.9163337963,-167.20000000000005,-1014.6999999999998,-1035.9
2015-08-01 22:14:31.235,-160.20000000000005,7,42217.926750405095,-160.20000000000005,-1012.9000000000001,-1039.9
2015-08-01 22:29:31.230,-152.4000000000001,15.5,42217.937167013886,-152.4000000000001,-1017.1999999999998,-1037.9
2015-08-01 22:44:31.225,-147.79999999999995,22.399999999999864,42217.947583622685,-147.79999999999995,-1016.5,-1042.5
2015-08-01 22:59:31.220,-136.0999999999999,24.399999999999864,42217.95800023148,-136.0999999999999,-1021.4000000000001,-1053.8000000000002
2015-08-01 23:14:31.215,-130.29999999999995,31.5,42217.968416840275,-130.29999999999995,-1024.5,-1056.4
2015-08-01 23:29:31.210,-128.29999999999995,34,42217.97883344907,-128.29999999999995,-1023.1999999999998,-1063.1
2015-08-01 23:44:31.205,-119.40000000000009,38.59999999999991,42217.98925005787,-119.40000000000009,-1024.5,-1068.3000000000002
2015-08-01 23:59:31.200,-113.5,48.200000000000045,42217.99966666667,-113.5,-1030.5,-1073.6
2015-08-02 00:14:31.195,-105,55.200000000000045,42218.01008327546,-105,-1030.5,-1077.6
2015-08-02 00:29:31.190,-101.09999999999991,54.59999999999991,42218.02049988426,-101.09999999999991,-1031.7999999999997,-1084.2000000000003
2015-08-02 00:44:31.185,-93.40000000000009,58.399999999999864,42218.03091649306,-93.40000000000009,-1033.6,-1088.1
2015-08-02 00:59:31.180,-96.59999999999991,68.70000000000005,42218.04133310185,-96.59999999999991,-1038.4,-1089.5
2015-08-02 01:14:31.175,-88.90000000000009,68.70000000000005,42218.05174971065,-88.90000000000009,-1036,-1092.1
2015-08-02 01:29:31.170,-81.70000000000005,75.79999999999995,42218.06216631945,-81.70000000000005,-1037.1999999999998,-1094.8000000000002
2015-08-02 01:44:31.165,-79.09999999999991,77.09999999999991,42218.07258292824,-79.09999999999991,-1040.9,-1102.8000000000002
2015-08-02 01:59:31.160,-77.20000000000005,82.89999999999986,42218.08299953704,-77.20000000000005,-1045.1,-1110.7000000000003
2015-08-02 02:14:31.155,-72.70000000000005,88.59999999999991,42218.093416145835,-72.70000000000005,-1048.1,-1117.9
2015-08-02 02:29:31.150,-69.40000000000009,97.5,42218.10383275463,-69.40000000000009,-1049.2999999999997,-1121.3000000000002
2015-08-02 02:44:31.145,-70,98.29999999999995,42218.114249363425,-70,-1049.2999999999997,-1125.9
2015-08-02 02:59:31.140,-64.90000000000009,104,42218.124665972224,-64.90000000000009,-1051.1,-1127.9
