,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control-2L_1,2016-07-09,1.0,1.0,0.0,0.8313761918526671,0.16823225189536495,0.000391556251968111
LTP Control-2L_1,2016-07-10,1.0,1.0,0.0,0.8396076916834301,0.16009649037114645,0.0002958179454234268
LTP Control-2L_1,2016-07-11,1.0,1.0,0.0,0.8291194203601236,0.17061144321547236,0.00026913642440395166
LTP Control-2L_1,2016-07-12,1.0,1.0,0.0,0.8118645392964876,0.18770816531250872,0.0004272953910037037
LTP Control-2L_1,2016-07-13,1.0,1.0,0.0,0.817337766357794,0.18225366053499245,0.0004085731072136033
LTP Control-2L_1,2016-07-14,1.0,1.0,0.0,0.7997756667681041,0.19977317713437845,0.0004511560975175014
LTP Control-2L_1,2016-07-15,1.0,1.0,0.0,0.8270696761324178,0.17254478514015867,0.0003855387274236234
LTP Control-2L_1,2016-07-16,1.0,1.0,0.0,0.7988529883073282,0.20078111420744355,0.00036589748522824925
LTP Control-2L_1,2016-07-17,1.0,1.0,0.0,0.8149313719473841,0.18474594623282226,0.0003226818197936328
LTP Control-2L_1,2016-07-18,1.0,1.0,0.0,0.8256745299315326,0.17399994674080743,0.0003255233276598536
LTP Control-2L_1,2016-07-19,1.0,1.0,0.0,0.8972366685838824,0.10270571258449478,5.7618831622660746e-05
LTP Control-2L_1,2016-07-20,1.0,1.0,0.0,0.9185453081076301,0.08140630937385254,4.838251851740711e-05
LTP Control-2L_1,2016-07-21,1.0,1.0,0.0,0.8631796591633591,0.13658305161131676,0.00023728922532404215
LTP Control-2L_1,2016-07-22,1.0,1.0,0.0,0.9104671851444422,0.08945271505332164,8.009980223607768e-05
LTP Control-2L_1,2016-07-23,1.0,1.0,0.0,0.8583420710773487,0.14129251160274936,0.00036541731990179813
LTP Control-2L_1,2016-07-24,1.0,1.0,0.0,0.8758087500598947,0.12394868471748312,0.00024256522262220052
LTP Control-2L_1,2016-07-25,1.0,1.0,0.0,0.8667881012240546,0.13301272273616715,0.00019917603977839175
LTP Control-2L_1,2016-07-26,1.0,1.0,0.0,0.7466645240345818,0.25193134006883655,0.001404135896581605
LTP Control-2L_1,2016-07-27,1.0,1.0,0.0,0.5366875675645968,0.459826342232634,0.003486090202769193
LTP Control-2L_1,2016-07-28,1.0,1.0,0.0,0.9079158190126141,0.09199733295389624,8.684803348954723e-05
LTP Control-2L_1,2016-07-29,1.0,1.0,0.0,0.9568289081810295,0.043162163026375516,8.928792594863365e-06
LTP Control-2L_1,2016-07-30,1.0,1.0,0.0,0.9202956703040301,0.0796704763266727,3.385336929722814e-05
LTP Control-2L_1,2016-07-31,1.0,1.0,0.0,0.9327410423478697,0.06718983335044416,6.912430168601503e-05
LTP Control-2L_1,2016-08-01,1.0,1.0,0.0,0.9250488731104582,0.07487907128470214,7.205560483950877e-05
LTP Control-2L_1,2016-08-02,1.0,1.0,0.0,0.9172764663237587,0.08263353698229398,8.999669394741691e-05
LTP Control-2L_1,2016-08-03,1.0,1.0,0.0,0.9171734657729865,0.08275491785833332,7.16163686800735e-05
LTP Control-2L_1,2016-08-04,1.0,1.0,0.0,0.9281862209322659,0.07173701492584726,7.676414188666794e-05
LTP Control-2L_1,2016-08-05,1.0,1.0,0.0,0.9405392506094894,0.05942427993081095,3.646945969963334e-05
