TIMESTAMP,RECORD,Vzim_Avg,zim_Avg(1),zim_Avg(2),zim_Avg(3),zim_Avg(4),turgor_Avg(1),turgor_Avg(2),turgor_Avg(3),turgor_Avg(4)
2024-09-17 11:55:00,108285,4233.562,46.80741,86.40691,,,17.65144,87.52718,,
2024-09-17 12:00:00,108286,4233.745,46.82057,86.43922,,,17.674,87.58063,,
2024-09-17 12:05:00,108287,4232.842,46.38311,85.82309,,,16.90264,86.50761,,
2024-09-17 12:10:00,108288,4233.257,46.5248,86.04162,,,17.15204,86.88631,,
2024-09-17 12:15:00,108289,4232.515,46.47485,85.71039,,,17.06653,86.3146,,
2024-09-17 12:20:00,108290,4232.198,46.44685,85.51738,,,17.01814,85.97899,,
2024-09-17 12:25:00,108291,4232.683,46.71403,85.84884,,,17.4896,86.55646,,
2024-09-17 12:30:00,108292,4231.768,46.39833,85.36979,,,16.93393,85.7262,,
2024-09-17 12:35:00,108293,4232.16,46.49734,85.63732,,,17.10781,86.19235,,
2024-09-17 12:40:00,108294,4232.18,46.58152,85.72938,,,17.25688,86.35503,,
2024-09-17 12:45:00,108295,4232.396,46.81545,85.94258,,,17.67058,86.72851,,
2024-09-17 12:50:00,108296,4232.54,47.11966,86.13253,,,18.20902,87.06211,,
2024-09-17 12:55:00,108297,4232.423,47.08739,85.95076,,,18.15235,86.74243,,
2024-09-17 13:00:00,108298,4232.078,46.99475,85.77288,,,17.98965,86.43428,,
2024-09-17 13:05:00,108299,4232.55,47.3481,86.10172,,,18.61377,87.00732,,
2024-09-17 13:10:00,108300,4232.447,47.20661,85.8668,,,18.36347,86.5931,,
2024-09-17 13:15:00,108301,4232.835,47.23064,85.73129,,,18.40436,86.34508,,
2024-09-17 13:20:00,108302,4233.157,47.51213,86.02277,,,18.90172,86.85496,,
2024-09-17 13:25:00,108303,4232.928,47.39073,86.01436,,,18.68765,86.84478,,
2024-09-17 13:30:00,108304,4233.016,47.66302,86.34722,,,19.1697,87.43271,,
2024-09-17 13:35:00,108305,4232.706,47.52555,85.9381,,,18.92751,86.71419,,
2024-09-17 13:40:00,108306,4234.146,48.0879,86.41631,,,19.91715,87.53172,,
2024-09-17 13:45:00,108307,4234.084,47.98463,86.22937,,,19.73456,87.20192,,
2024-09-17 13:50:00,108308,4234.214,48.04685,86.2685,,,19.84413,87.26854,,
2024-09-17 13:55:00,108309,4235.062,48.21561,86.56365,,,20.13903,87.77377,,
2024-09-17 14:00:00,108310,4234.677,48.2179,86.44507,,,20.14493,87.57172,,
2024-09-17 14:05:00,108311,4233.724,48.14847,86.26121,,,20.02646,87.26573,,
2024-09-17 14:10:00,108312,4234.092,48.81293,86.42519,,,21.2017,87.54859,,
2024-09-17 14:15:00,108313,4234.891,49.09829,86.55133,,,21.70305,87.75548,,
2024-09-17 14:20:00,108314,4236.129,49.21615,86.84291,,,21.9054,88.24605,,
2024-09-17 14:25:00,108315,4235.629,48.77597,86.66145,,,21.12854,87.9352,,
2024-09-17 14:30:00,108316,4236.007,49.15083,86.98841,,,21.79038,88.50623,,
2024-09-17 14:35:00,108317,4235.244,49.13378,86.88239,,,21.7641,88.33443,,
2024-09-17 14:40:00,108318,4234.153,48.70914,86.47081,,,21.01756,87.62817,,
2024-09-17 14:45:00,108319,4234.473,48.99848,86.86098,,,21.52842,88.31259,,
2024-09-17 14:50:00,108320,4234.507,48.89153,86.59191,,,21.33885,87.83533,,
2024-09-17 14:55:00,108321,4234.65,48.69861,86.20857,,,20.99643,87.15343,,
2024-09-17 15:00:00,108322,4233.325,48.36795,85.84132,,,20.41712,86.52998,,
2024-09-17 15:05:00,108323,4232.626,48.24859,85.74712,,,20.20906,86.37742,,
2024-09-17 15:10:00,108324,4232.93,48.32505,85.8215,,,20.34308,86.50303,,
2024-09-17 15:15:00,108325,4232.714,48.14982,85.76234,,,20.03362,86.40259,,
2024-09-17 15:20:00,108326,4232.249,47.91427,85.4756,,,19.61842,85.90398,,
2024-09-17 15:25:00,108327,4231.704,47.70731,85.31806,,,19.25414,85.63583,,
2024-09-17 15:30:00,108328,4231.009,47.44645,85.07799,,,18.79488,85.22433,,
2024-09-17 15:35:00,108329,4230.707,47.20962,84.8597,,,18.3764,84.84345,,
2024-09-17 15:40:00,108330,4230.856,47.17415,84.83105,,,18.31287,84.78967,,
2024-09-17 15:45:00,108331,4230.862,47.11612,84.78225,,,18.20997,84.70304,,
2024-09-17 15:50:00,108332,4230.847,47.05419,84.71469,,,18.10025,84.58357,,
2024-09-17 15:55:00,108333,4230.133,46.73162,84.44853,,,17.53139,84.12595,,
2024-09-17 16:00:00,108334,4229.989,46.61025,84.37103,,,17.31681,83.99141,,
2024-09-17 16:05:00,108335,4229.949,46.44836,84.24594,,,17.02992,83.77041,,
2024-09-17 16:10:00,108336,4228.932,45.94987,83.75239,,,16.1499,82.91521,,
2024-09-17 16:15:00,108337,4227.901,45.41409,83.31048,,,15.20345,82.15156,,
2024-09-17 16:20:00,108338,4227.588,45.16209,83.27096,,,14.7575,82.08751,,
2024-09-17 16:25:00,108339,4227.645,44.98958,83.26052,,,14.45126,82.06789,,
2024-09-17 16:30:00,108340,4227.341,44.64923,83.01826,,,13.84847,81.64398,,
2024-09-17 16:35:00,108341,4227.128,44.26528,82.68047,,,13.16792,81.04874,,
2024-09-17 16:40:00,108342,4226.708,43.81823,82.29567,,,12.376,80.37401,,
2024-09-17 16:45:00,108343,4226.592,43.49062,82.03423,,,11.79501,79.91231,,
2024-09-17 16:50:00,108344,4226.374,43.1941,81.76929,,,11.2694,79.44627,,
2024-09-17 16:55:00,108345,4226.101,42.95254,81.60484,,,10.84144,79.15955,,
2024-09-17 17:00:00,108346,4225.919,42.679,81.34348,,,10.35644,78.69911,,
2024-09-17 17:05:00,108347,4225.495,42.46655,81.13807,,,9.980392,78.34241,,
2024-09-17 17:10:00,108348,4224.996,42.25102,80.92083,,,9.598975,77.96604,,
2024-09-17 17:15:00,108349,4224.616,42.04085,80.67423,,,9.226722,77.53527,,
2024-09-17 17:20:00,108350,4224.36,41.88549,80.48703,,,8.951449,77.2076,,
2024-09-17 17:25:00,108351,4224.147,41.73558,80.28886,,,8.68574,76.85963,,
2024-09-17 17:30:00,108352,4223.731,41.57406,80.04885,,,8.399793,76.44104,,
2024-09-17 17:35:00,108353,4223.521,41.46652,79.91171,,,8.209246,76.2013,,
2024-09-17 17:40:00,108354,4223.322,41.35127,79.72975,,,8.004957,75.88177,,
2024-09-17 17:45:00,108355,4223.277,41.22977,79.53815,,,7.789287,75.54233,,
2024-09-17 17:50:00,108356,4223.15,41.12518,79.3596,,,7.603773,75.2275,,
2024-09-17 17:55:00,108357,4222.874,41.03682,79.1992,,,7.447325,74.94753,,
2024-09-17 18:00:00,108358,4222.302,40.94051,79.02223,,,7.27726,74.64336,,
2024-09-17 18:05:00,108359,4221.964,40.83728,78.82973,,,7.094462,74.30733,,
2024-09-17 18:10:00,108360,4221.774,40.70541,78.6153,,,6.860515,73.92976,,
2024-09-17 18:15:00,108361,4221.43,40.62486,78.46158,,,6.717978,73.66266,,
2024-09-17 18:20:00,108362,4221.118,40.58138,78.32615,,,6.641203,73.42747,,
2024-09-17 18:25:00,108363,4220.684,40.49768,78.17253,,,6.49317,73.16207,,
2024-09-17 18:30:00,108364,4220.56,40.45032,78.03987,,,6.409195,72.92848,,
2024-09-17 18:35:00,108365,4220.456,40.38192,77.89893,,,6.287802,72.67982,,
2024-09-17 18:40:00,108366,4220.284,40.33398,77.79793,,,6.202869,72.5033,,
2024-09-17 18:45:00,108367,4220.146,40.29301,77.70327,,,6.130254,72.33743,,
2024-09-17 18:50:00,108368,4220.01,40.25957,77.58546,,,6.07103,72.13038,,
2024-09-17 18:55:00,108369,4219.835,40.21465,77.4938,,,5.99144,71.97045,,
2024-09-17 19:00:00,108370,4220.153,40.1898,77.39985,,,5.946828,71.79807,,
2024-09-17 19:05:00,108371,4220.132,40.13126,77.29842,,,5.842817,71.61818,,
2024-09-17 19:10:00,108372,4219.589,40.12718,77.23704,,,5.836308,71.51826,,
2024-09-17 19:15:00,108373,4219.182,40.08281,77.17259,,,5.75801,71.41062,,
2024-09-17 19:20:00,108374,4218.585,40.06148,77.08341,,,5.720903,71.26218,,
2024-09-17 19:25:00,108375,4218.169,40.03175,77.02612,,,5.668613,71.16733,,
2024-09-17 19:30:00,108376,4218.218,39.99084,76.9214,,,5.595795,70.98034,,
2024-09-17 19:35:00,108377,4218.294,39.93973,76.84801,,,5.504821,70.84856,,
2024-09-17 19:40:00,108378,4218.219,39.92786,76.79259,,,5.483817,70.75128,,
2024-09-17 19:45:00,108379,4218.322,39.86369,76.71973,,,5.369585,70.62001,,
2024-09-17 19:50:00,108380,4218.122,39.86326,76.66119,,,5.369084,70.51928,,
2024-09-17 19:55:00,108381,4217.827,39.8137,76.59189,,,5.281335,70.40098,,
2024-09-17 20:00:00,108382,4218.13,39.7967,76.55685,,,5.250721,70.33362,,
2024-09-17 20:05:00,108383,4218.437,39.77949,76.49032,,,5.219752,70.21023,,
2024-09-17 20:10:00,108384,4218.796,39.73718,76.44836,,,5.144086,70.12966,,
2024-09-17 20:15:00,108385,4218.852,39.72855,76.399,,,5.128687,70.04099,,
