id,date,pk,bk,ctend,bk1,T_Amb_Avg,H_Relat_Avg,R_Neta_Avg,VPD_Avg,Y
TDV 45RDI-PB2,2014-11-02,4.0,1.8772028844325872,253.7,1.0,16.596093749997916,77.81829861111112,34.277934027777775,0.5399125000229167,0.0
TDV 45RDI-CC1,2014-11-02,2.0,1.6273409288781078,101.10000000000002,1.0,16.596093749997916,77.81829861111112,34.277934027777775,0.5399125000229167,0.0
TDV 45RDI-CC2,2014-11-02,4.0,1.8772026458931304,220.0,1.0,16.596093749997916,77.81829861111112,34.277934027777775,0.5399125000229167,0.0
TDV Control1,2014-11-03,4.0,1.9366481285193495,261.5,1.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,0.0
TDV Control2,2014-11-03,4.0,1.9361606817343762,212.30000000000018,1.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,0.0
TDV 45RDI-PB1,2014-11-03,-1.0,0.8136624773871097,49.19999999999999,0.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,1.0
TDV 45RDI-PB2,2014-11-03,-1.0,0.9386014422162936,242.2,0.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,1.0
TDV 45RDI-CC1,2014-11-03,-1.0,0.8136704644390539,34.400000000000006,0.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,1.0
TDV 45RDI-CC2,2014-11-03,-1.0,0.9386013229465652,164.0,0.0,16.57935763888889,82.68548611111112,39.97290972224722,0.3955006944444444,1.0
TDV Control1,2015-06-16,2.0,1.743896484375,3.299999999999983,1.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,0.0
TDV Control2,2015-06-16,8.0,1.993896484375,123.80000000000001,1.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,0.0
TDV 45RDI-PB1,2015-06-16,-1.0,0.981689453125,41.70000000000002,0.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,1.0
TDV 45RDI-PB2,2015-06-16,2.0,1.732177734375,18.5,1.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,0.0
TDV 45RDI-CC1,2015-06-16,2.0,1.603271484375,17.0,1.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,0.0
TDV 45RDI-CC2,2015-06-16,3.0,1.853271484375,11.299999999999983,1.0,22.02646875,53.65887847222223,178.82807638886806,1.5260718750000002,0.0
TDV Control1,2015-06-17,-1.0,0.8719482421875,-38.900000000000006,0.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,1.0
TDV Control2,2015-06-17,-1.0,0.9969482421875,43.599999999999994,0.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,1.0
TDV 45RDI-PB1,2015-06-17,1.0,1.4908447265625,48.20000000000002,1.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,0.0
TDV 45RDI-PB2,2015-06-17,-1.0,0.8660888671875,-86.69999999999999,0.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,1.0
TDV 45RDI-CC1,2015-06-17,-1.0,0.8016357421875,-42.400000000000006,0.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,1.0
TDV 45RDI-CC2,2015-06-17,-1.0,0.9266357421875,-58.80000000000001,0.0,24.549368055555554,45.143336805555556,176.23670486110905,2.155943402777778,1.0
TDV Control1,2015-06-18,-2.0,0.43597412109375,-73.8,0.0,25.484875000000002,42.902965277777774,167.7295451389118,2.2005208333333335,1.0
