Sensor,Fecha,slope1,slope2,max1,pmax1,rat1,max2,pmax2,rat2,Y
LTP Control_1_1,2019-08-08,7.932756851840859,-4.125391900394806,14.233333333333333,7.916666666666666,2.1563729801805382,2.2333333333333334,3.3,1.1041486868925297,1.0
LTP Control_1_1,2019-08-09,5.837284076530913,-1.7809786111893484,14.2,9.783333333333335,1.8595150129615647,1.5833333333333335,3.6166666666666667,1.0333108843638692,1.0
LTP Control_1_1,2019-08-10,-6.158706105392888,-4.5864440611170245,14.066666666666666,7.366666666666667,2.060605180078934,21.533333333333335,2.4499999999999993,1.0921115366851566,1.0
LTP Control_1_1,2019-08-11,4.665264405410135,-4.753807701690471,15.05,5.216666666666665,1.8126185329228044,20.55,3.4333333333333336,1.3123974490364858,1.0
LTP Control_1_1,2019-08-12,4.350565502628246,-4.728791532556436,15.066666666666666,6.433333333333334,2.0395140891486983,2.5833333333333335,3.016666666666666,1.132494153843223,1.0
LTP Control_1_1,2019-08-13,7.889863900625065,-6.250784378923641,15.833333333333334,8.15,2.3527082501712515,0.0,3.533333333333333,1.300825342274296,1.0
LTP Control_1_1,2019-08-14,7.591716037379278,-6.484172421431535,14.683333333333334,8.283333333333331,2.1702315882079817,0.0,0.9166666666666666,1.0367392131901778,1.0
LTP Control_1_1,2019-08-15,8.280741112210597,-6.249367094578141,14.6,8.583333333333334,2.352215326021189,0.0,2.1,1.1381871889507116,1.0
LTP Control_1_1,2019-08-16,7.871866996440422,-5.759354610511436,14.683333333333334,9.3,2.3486614089096944,0.6166666666666667,2.933333333333333,1.2199201633675052,1.0
LTP Control_1_1,2019-08-17,10.034483845834194,-5.936235665761189,15.4,8.583333333333334,2.34373669640665,13.333333333333334,2.049999999999999,1.0919406410467105,1.0
LTP Control_1_1,2019-08-18,6.46688219740397,-3.5765872934638847,14.25,7.25,1.974068885830375,0.0,3.3,1.165531192694294,1.0
LTP Control_1_1,2019-08-19,6.85937098380419,-3.9557774004974497,14.3,7.583333333333332,1.9687765816709195,0.0,4.783333333333333,1.176114631734794,1.0
LTP Control_1_1,2019-08-20,-2.5150833373116686,-3.0366227556130556,15.183333333333334,7.616666666666667,2.17448041210689,8.366666666666667,1.6500000000000004,1.194919595888633,1.0
LTP Control_1_1,2019-08-21,4.382781524320482,-2.9112981842008496,14.783333333333333,7.116666666666665,2.064013991828937,0.0,3.3833333333333333,1.0975378249401841,1.0
LTP Control_1_1,2019-08-22,4.686472667730608,-4.519939007098966,15.183333333333334,8.8,2.3883941248207368,0.0,3.966666666666667,1.177644114020996,1.0
LTP Control_1_1,2019-08-23,7.438656338690039,-4.4412915745678285,15.2,8.783333333333335,2.5015865519429723,0.0,4.833333333333333,1.264133452713641,1.0
LTP Control_1_1,2019-08-24,6.2593846854967605,-4.859682426110074,14.95,9.033333333333335,2.788415451289567,0.0,2.85,1.1569680271672966,1.0
LTP Control_1_1,2019-08-25,5.461027034931816,-3.5097242286374417,14.833333333333334,9.15,2.6299340246520995,0.9166666666666666,4.233333333333333,1.133581385118726,1.0
LTP Control_1_1,2019-08-26,4.371049363553894,-2.737439249380567,14.833333333333334,7.700000000000001,2.3694570026405164,0.0,2.95,1.1558502908287085,1.0
LTP Control_1_1,2019-08-27,4.745985571238884,-3.9407358414451914,15.433333333333334,6.949999999999999,2.4106663378211937,3.6833333333333336,1.9499999999999993,1.073447314242608,1.0
LTP Control_1_1,2019-08-28,6.730571604796686,-4.772685784634329,15.166666666666666,7.883333333333335,2.598530389446797,0.0,2.3166666666666664,1.0917448374698717,1.0
LTP Control_1_1,2019-08-29,7.005104945484137,-5.274338065184486,14.8,9.183333333333334,3.1039995603584654,1.1,4.166666666666666,1.1805117055802379,1.0
LTP Control_1_1,2019-08-30,8.657310828308983,-5.426026428984036,14.783333333333333,9.200000000000001,2.8780612114320814,1.85,3.5333333333333337,1.11080621142521,1.0
LTP Control_1_1,2019-08-31,7.2796046209867695,-4.848949882320362,15.183333333333334,8.8,2.7873216580861504,2.55,2.9000000000000004,1.1240786907548856,1.0
LTP Control_1_1,2019-09-01,-6.079747955029044,-5.32658566385158,14.666666666666666,9.233333333333333,3.0410361805864374,3.9333333333333336,1.7333333333333334,1.0932048986834395,1.0
LTP Control_1_1,2019-09-02,9.10657488032465,-5.56060545694548,14.783333333333333,8.450000000000001,2.8534667028153136,0.9666666666666667,2.9166666666666665,1.1631287190354753,1.0
LTP Control_1_1,2019-09-03,10.281596483142772,-6.013142625091299,14.766666666666667,9.1,2.7713220946627177,2.4,3.2500000000000004,1.1501433590437347,1.0
LTP Control_1_1,2019-09-04,5.692616091436632,-5.41306796058567,15.183333333333334,8.8,2.7178937545643884,1.45,2.1166666666666663,1.098368624983915,1.0
LTP Control_1_1,2019-09-05,7.528630161653076,-6.482563399007954,14.716666666666667,9.266666666666667,2.765891457466149,1.8666666666666667,3.1,1.1807926824299104,1.0
LTP Control_1_1,2019-09-06,7.426264393086513,-4.904938805396552,15.033333333333333,8.950000000000001,2.749470393733149,0.0,2.1333333333333333,1.0894025196745771,1.0
LTP Control_1_1,2019-09-07,7.145843710319368,-7.354656783646102,15.116666666666667,8.866666666666667,2.911651561716541,0.0,5.366666666666666,1.5658664910930242,1.0
LTP Control_1_1,2019-09-08,7.8158298352433215,-5.716289605283882,15.183333333333334,7.233333333333334,2.54492830638142,2.8666666666666667,1.5833333333333335,1.0679599267178403,1.0
LTP Control_1_1,2019-09-09,7.74362168100309,-6.8732589608386965,14.516666666666667,9.466666666666667,2.7246685164028066,0.0,3.8666666666666667,1.1737990520330475,1.0
LTP Control_1_1,2019-09-10,12.858393485195654,-7.346243905961317,17.45,6.533333333333335,2.6205580968535793,0.0,5.6,1.462716613748518,1.0
LTP Control_1_1,2019-09-11,18.434012576507737,-6.765362910386831,17.183333333333334,6.800000000000001,2.1720407171853098,0.0,2.9166666666666665,1.1865727416497713,1.0
LTP Control_1_1,2019-09-12,16.643998080737287,-6.550584908362647,17.616666666666667,6.366666666666667,2.1138327370790426,0.0,5.55,1.3950579533674108,1.0
LTP Control_1_1,2019-09-13,-5.731516673048271,-3.6448331049759597,14.166666666666666,9.816666666666668,2.9802608376458393,0.0,6.2,1.2609966548481368,1.0
LTP Control_1_1,2019-09-14,6.244411817330196,-3.0417445645376087,16.35,6.25,2.026669168629726,13.35,2.133333333333333,1.355067828728845,1.0
LTP Control_1_1,2019-09-15,5.5168297769528545,-6.800797510347687,15.083333333333334,8.9,2.9591685669430055,13.033333333333333,0.4166666666666661,1.0108015200508447,1.0
LTP Control_1_1,2019-09-16,7.6270865286656555,-5.415527474494786,14.833333333333334,9.15,3.1163838963951083,0.0,3.9333333333333336,1.1531172339541662,1.0
LTP Control_1_1,2019-09-17,7.062313260819596,-5.324992194474542,14.7,9.283333333333335,3.2972396900539347,9.9,0.7999999999999989,1.0884551229702875,1.0
LTP Control_1_1,2019-09-18,7.193753861651093,-5.329311066898362,14.866666666666667,8.5,3.3909081589940286,1.5,2.716666666666667,1.156556658668697,1.0
LTP Control_1_1,2019-09-19,8.108499057129828,-5.252988284550783,14.833333333333334,9.15,3.2102374569738115,0.4,2.8333333333333335,1.070890373651912,1.0
LTP Control_1_1,2019-09-20,4.6651279057306105,-3.1115079714227027,15.6,6.966666666666667,2.310786232951633,14.55,0.9499999999999993,1.0731519661721773,1.0
LTP Control_1_1,2019-09-21,7.106812024099041,-1.591298506447314,13.683333333333334,7.350000000000001,2.167556056937878,1.95,2.0666666666666664,1.124524971149286,1.0
LTP Control_1_1,2019-09-22,-6.4506390860382234,-4.421987410904818,14.75,9.233333333333334,3.3966304114218766,0.13333333333333333,2.8833333333333333,1.0975829303353033,1.0
LTP Control_1_1,2019-09-23,8.155436826316945,-5.583059360663013,14.6,7.9833333333333325,3.3956291802768708,0.0,4.666666666666667,1.1306036660343728,1.0
LTP Control_1_1,2019-09-24,10.03631878465427,-5.3061438111969865,15.316666666666666,8.666666666666668,3.177103691047693,14.2,1.1000000000000014,1.077500352518228,1.0
LTP Control_1_1,2019-09-25,-7.491568837694935,-5.848776680813681,15.366666666666667,8.616666666666667,3.5750798694118733,4.983333333333333,1.25,1.06589259796807,1.0
LTP Control_1_1,2019-09-26,11.000964723389204,-6.0361745852568625,15.35,8.633333333333335,3.3060560081427863,14.583333333333334,0.6999999999999993,1.0270247232842662,1.0
LTP Control_1_1,2019-09-27,11.490332597609173,-6.074489716995992,14.183333333333334,9.8,3.434923482928508,0.0,4.85,1.2479114926495882,1.0
LTP Control_1_1,2019-09-28,13.436792068763038,-6.511736611256184,15.1,8.883333333333335,3.3696099884620536,0.0,1.9666666666666668,1.1762368828790757,1.0
LTP Control_1_1,2019-09-29,11.497441299794675,-6.486619142872138,14.083333333333334,9.833333333333334,3.090929642067327,0.0,4.816666666666666,1.2982015302521244,1.0
LTP Control_1_1,2019-09-30,-8.222121914729412,-8.19876694061594,15.416666666666666,8.566666666666668,3.2657291621280122,1.1666666666666667,2.1833333333333336,1.0601195771355276,1.0
LTP Control_1_1,2019-10-01,13.29958079255363,-8.54313288489356,15.583333333333334,8.166666666666666,3.0889921589833724,3.8333333333333335,2.3833333333333333,1.1391898975326964,1.0
LTP Control_1_1,2019-10-02,12.185285287713553,-8.03786274329607,16.416666666666668,7.566666666666666,2.769521781799431,1.1166666666666667,2.75,1.3948748937408715,1.0
LTP Control_1_1,2019-10-03,13.735231808909198,-7.903463927014747,17.316666666666666,6.666666666666668,2.5669424757723025,0.0,5.516666666666667,1.3576937510455616,1.0
LTP Control_1_1,2019-10-04,18.317200299344645,-7.907312326046579,16.0,7.983333333333334,2.4519966467435927,0.0,5.95,1.3444755040253216,1.0
LTP Control_1_1,2019-10-05,12.895007820606294,-8.326421332477187,16.233333333333334,7.75,2.7563595759427066,0.0,3.85,1.3284980220910887,1.0
LTP Control_1_1,2019-10-06,9.393148592523945,-8.86820899186983,15.9,8.083333333333334,3.1083609049450054,0.0,6.233333333333333,1.3748573397169759,1.0
LTP Control_1_1,2019-10-07,10.116308500169708,-8.583178127819645,15.233333333333333,7.666666666666666,2.7441341079584443,0.0,5.416666666666667,1.2764832978409215,1.0
LTP Control_1_1,2019-10-08,9.14549684278428,-8.229990932223206,14.25,9.733333333333334,2.8203377194169126,0.0,2.95,1.1937036656800328,1.0
LTP Control_1_1,2019-10-09,8.490451697037884,-8.004365505545017,14.833333333333334,9.15,2.7966045759868234,0.0,6.1,1.3464107501165408,1.0
LTP Control_1_1,2019-10-10,8.861892383795025,-8.433689080380192,15.166666666666666,8.816666666666668,2.71997528612198,0.0,6.066666666666666,1.353866988915743,1.0
LTP Control_1_1,2019-10-11,16.22615710287727,-7.520683101395437,16.55,7.433333333333334,2.448252891834249,0.0,3.716666666666667,1.209133811188065,1.0
LTP Control_1_1,2019-10-12,17.988296712500517,-7.78298761022022,16.566666666666666,7.416666666666668,2.383005758393235,0.5833333333333334,5.016666666666667,1.3495544370419617,1.0
LTP Control_1_1,2019-10-13,14.672157578240803,-7.899140679200059,16.366666666666667,7.616666666666667,2.4874028435469566,0.0,6.516666666666667,1.2811636253233012,1.0
LTP Control_1_1,2019-10-14,-8.071258884487758,-5.516257799080519,15.033333333333333,8.583333333333334,4.231926648409354,2.4166666666666665,3.733333333333334,1.261282641789297,1.0
LTP Control_1_1,2019-10-15,-6.5466038339236015,-3.2425240691851207,14.4,9.583333333333334,5.081161114853272,0.0,3.45,1.1458577889401511,1.0
LTP Control_1_1,2019-10-16,6.3038790159971745,-2.271242201874278,15.15,8.816666666666665,3.213686485694399,14.016666666666667,1.1166666666666654,1.0764802894078842,1.0
LTP Control_2_1,2019-04-30,1.8389503653024635,-2.2655714114395087,16.066666666666666,7.916666666666668,2.2309821200975932,0.0,2.75,1.1937534256263371,1.0
LTP Control_2_1,2019-05-01,2.4419275956973854,-2.2951093433810543,15.466666666666667,8.516666666666667,2.5575216929119975,0.31666666666666665,4.133333333333334,1.229085924240446,1.0
LTP Control_2_1,2019-05-02,2.478839306286791,-2.163391515417702,14.316666666666666,8.083333333333332,2.3650878489441243,0.0,1.35,1.083776908558768,1.0
LTP Control_2_1,2019-05-03,1.952443626570002,-0.9074820554550347,13.583333333333334,6.749999999999998,1.9780102971475062,0.0,4.916666666666667,1.2167602431441695,1.0
LTP Control_2_1,2019-05-04,-1.326909962406247,-1.1901566188468813,16.233333333333334,7.433333333333334,1.7705124839446835,15.283333333333333,0.8166666666666682,1.0588884009660873,1.0
LTP Control_2_1,2019-05-05,0.8353580759571269,-1.2049893570347587,14.716666666666667,9.266666666666667,2.011358002282357,14.35,0.3333333333333339,1.0042243987230701,1.0
LTP Control_2_1,2019-05-06,1.2203114532209038,-1.646601156411271,16.483333333333334,7.333333333333332,1.989466881552283,15.15,1.2166666666666668,1.0571271392661241,1.0
LTP Control_2_1,2019-05-07,1.7323676705159183,-1.4298011650999913,15.25,5.25,1.9372344362240141,2.05,2.7666666666666666,1.1458586545408185,1.0
LTP Control_2_1,2019-05-14,5.2654360976803884,-3.611942394362831,15.4,8.583333333333334,2.7549552554054797,13.883333333333333,1.2666666666666675,1.0450211912027292,1.0
LTP Control_2_1,2019-05-15,3.811143484364029,-3.723880898518617,15.55,8.433333333333334,2.6673649262479975,1.0166666666666666,1.6833333333333336,1.058464898431744,1.0
LTP Control_2_1,2019-05-16,5.011904165728302,-3.0747054463948937,15.466666666666667,4.549999999999999,1.891894348816174,21.133333333333333,2.8500000000000014,1.4308985208748606,1.0
LTP Control_2_1,2019-05-17,5.355295477754588,-3.944673223753617,16.15,5.433333333333334,2.4281345793904445,14.133333333333333,1.8833333333333329,1.1361089564562974,1.0
LTP Control_2_1,2019-05-18,4.986908437326733,-3.5948456206944255,14.533333333333333,9.1,2.6360547629743674,0.0,2.6833333333333336,1.2479513721996227,1.0
LTP Control_2_1,2019-05-19,5.290783980055951,-2.2194870526622297,15.833333333333334,6.2666666666666675,1.796541176383769,13.516666666666667,2.0666666666666664,1.301262093323994,1.0
LTP Control_2_1,2019-05-20,-4.814154494703399,-3.449799205220868,14.533333333333333,9.450000000000001,2.757804623674605,13.783333333333333,0.7333333333333343,1.0222233077635816,1.0
LTP Control_2_1,2019-05-24,5.703989596657239,-4.228440550253737,15.116666666666667,8.866666666666667,2.86962133767681,0.0,2.3333333333333335,1.1975792625147945,1.0
LTP Control_2_1,2019-05-25,5.0719267940455435,-5.319591360071032,15.716666666666667,8.266666666666667,2.5849533241359666,0.0,1.7166666666666668,1.105019164605056,1.0
LTP Control_2_1,2019-05-26,5.064240161329888,-6.001814261339487,15.733333333333333,8.250000000000002,3.1032560065407866,0.0,3.216666666666667,1.180349882229184,1.0
LTP Control_2_1,2019-05-27,6.1129629759264175,-5.191592270763411,15.133333333333333,6.533333333333335,2.5174571959128396,22.0,1.9833333333333343,1.1503435107473738,1.0
LTP Control_2_1,2019-05-28,5.997515887638816,-5.509382985959502,14.8,9.183333333333334,3.045453902270298,0.0,4.833333333333333,1.3295567997531137,1.0
LTP Control_2_1,2019-05-29,-7.044314174587601,-7.015596843512336,15.383333333333333,5.083333333333332,2.4382661097034855,21.35,2.633333333333333,1.4844629262600255,1.0
LTP Control_2_1,2019-05-30,6.059225751713169,-6.35945515756658,15.316666666666666,8.666666666666668,3.1795589125039467,0.0,3.216666666666667,1.1252106320265018,1.0
LTP Control_2_1,2019-05-31,6.940474008324404,-7.640353040813105,14.733333333333333,8.950000000000001,3.403375694327554,0.0,3.1166666666666667,1.1050710731533433,1.0
LTP Control_2_1,2019-06-01,7.295100798845357,-8.52393016226899,14.683333333333334,9.3,4.0336811157790144,0.3,2.916666666666667,1.4861653464241886,1.0
LTP Control_2_1,2019-06-02,7.903336190041916,-8.298851506633497,15.283333333333333,8.700000000000001,3.790479424837242,0.0,3.5,1.2595299404834206,1.0
LTP Control_2_1,2019-06-03,6.896222278979415,-7.511889241169249,15.3,7.0,3.048527893370044,0.0,2.1666666666666665,1.170379483258152,1.0
LTP Control_2_1,2019-06-04,6.947167096211145,-3.1890579583896246,13.466666666666667,7.466666666666667,2.38804604274411,0.0,4.8,1.3965038099506948,1.0
LTP Control_2_1,2019-06-05,6.046673078358026,-5.347014529544028,15.483333333333333,7.116666666666669,2.861740458748915,0.0,4.816666666666666,1.9213367369729257,1.0
LTP Control_2_1,2019-06-06,6.715143497172659,-3.6912687726945004,15.133333333333333,8.850000000000001,2.7003147955727855,0.0,2.25,1.3699339943431508,1.0
LTP Control_2_1,2019-06-07,-7.096353301220947,-6.778234094964835,15.25,5.350000000000001,2.8186502993451006,21.166666666666668,2.8166666666666664,1.6232532467120495,1.0
LTP Control_2_1,2019-06-08,8.020077803716042,-4.5987695280402106,14.65,9.266666666666667,2.8735896141297137,0.0,2.1,1.2280983073120368,1.0
LTP Control_2_1,2019-06-09,-5.525297967213038,-4.153403339523646,14.35,9.633333333333335,3.2053409934277344,1.7166666666666668,2.8666666666666663,1.1949232514267774,1.0
LTP Control_2_1,2019-06-10,5.8783980129387485,-3.882211121131249,13.816666666666666,10.166666666666668,3.148246946725865,0.0,3.1166666666666667,1.2359545678108594,1.0
LTP Control_2_1,2019-06-11,6.0324357691492,-4.736094091432062,14.716666666666667,9.266666666666667,3.400814040703968,2.35,2.4666666666666663,1.1924865494872912,1.0
LTP Control_2_1,2019-06-12,5.817498925504366,-5.676969763781404,14.966666666666667,7.816666666666668,2.7495684074233924,0.0,2.5166666666666666,1.3010028640658646,1.0
LTP Control_2_1,2019-06-13,-6.714700287625885,-5.366957237321384,16.016666666666666,6.633333333333333,2.7633823539049343,14.233333333333333,0.75,1.052362647977776,1.0
LTP Control_2_1,2019-06-14,-4.812953189159517,-4.226745400516546,14.033333333333333,9.950000000000001,3.039656908492559,0.11666666666666667,3.3,1.2660963538856476,1.0
LTP Control_2_1,2019-06-15,6.591482689772406,-7.050446643767266,15.183333333333334,8.8,3.9708993501219383,0.0,4.2,1.4618970952741108,1.0
LTP Control_2_1,2019-06-16,6.28597320606329,-6.174773057235742,14.75,9.233333333333334,3.4837197157927666,0.0,2.9166666666666665,1.224258809274086,1.0
LTP Control_2_1,2019-06-17,7.320213328449469,-5.862857099399901,13.983333333333333,9.15,3.5116553374995436,0.0,4.516666666666667,1.3717092551979804,1.0
LTP Control_2_1,2019-06-18,4.009411901290688,-3.339890542854003,14.3,7.383333333333333,2.2070762901350505,0.36666666666666664,1.7666666666666666,1.0301295543202427,1.0
LTP Control_2_1,2019-06-19,5.126030548047491,-4.259176579795384,14.8,7.516666666666666,2.6031642209767907,2.6333333333333333,1.8833333333333333,1.1086101713016046,1.0
LTP Control_2_1,2019-06-20,-5.375321227866421,-4.435013380914413,14.75,9.116666666666667,2.868823072244374,0.2833333333333333,4.25,1.1582041710622413,1.0
LTP Control_2_1,2019-06-21,6.442583475426616,-6.390322567277897,14.983333333333333,9.000000000000002,3.5735569704873478,0.08333333333333333,4.666666666666667,1.339140219351165,1.0
LTP Control_2_1,2019-06-22,6.555549457686896,-6.112981717502036,14.766666666666667,9.216666666666667,3.5192909144953313,0.0,2.4333333333333336,1.2745185890435253,1.0
LTP Control_2_1,2019-06-23,6.037364301242572,-4.886551087331175,14.916666666666666,8.1,2.957818112717642,0.0,4.683333333333334,1.3674338572538969,1.0
LTP Control_2_1,2019-06-24,4.804707857603871,-4.368572249853195,14.9,7.833333333333334,2.423742114274909,0.25,3.833333333333333,1.4075457775620976,1.0
LTP Control_2_1,2019-06-25,4.792608422620838,-4.962072235340167,15.05,7.550000000000001,2.61566408185873,3.3,1.666666666666667,1.1120336826407968,1.0
